@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3851,'2017/06/28 12:13:54:746',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3852,'2017/06/28 12:13:54:762',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3853,'2017/06/28 12:13:54:779',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3854,'2017/06/28 12:13:54:797',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3855,'2017/06/28 12:13:54:812',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3856,'2017/06/28 12:13:54:829',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3857,'2017/06/28 12:14:05:963',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3858,'2017/06/28 12:14:05:978',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3859,'2017/06/28 12:14:05:997',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3860,'2017/06/28 12:14:06:012',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3861,'2017/06/28 12:14:06:030',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3862,'2017/06/28 12:14:06:045',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3863,'2017/06/28 12:14:06:062',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3864,'2017/06/28 12:14:06:078',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3865,'2017/06/28 12:14:06:096',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3866,'2017/06/28 12:14:06:112',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3867,'2017/06/28 12:14:06:128',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3868,'2017/06/28 12:14:06:145',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3869,'2017/06/28 12:14:06:161',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3870,'2017/06/28 12:14:06:180',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3871,'2017/06/28 12:14:06:194',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3872,'2017/06/28 12:14:06:212',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3873,'2017/06/28 12:14:06:230',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3874,'2017/06/28 12:14:06:245',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3875,'2017/06/28 12:14:06:262',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
